"fixed.acidity"	"volatile.acidity"	"citric.acid"	"residual.sugar"	"chlorides"	"free.sulfur.dioxide"	"total.sulfur.dioxide"	"density"	"pH"	"sulphates"	"alcohol"
10	0.43	0.33	2.7	0.095	28	89	0.9984	3.22	0.68	10
10	0.49	0.2	11	0.071	13	50	1.0015	3.16	0.69	9.2
10.1	0.935	0.22	3.4	0.105	11	86	1.001	3.43	0.64	11.3
10.2	0.44	0.42	2	0.071	7	20	0.99566	3.14	0.79	11.1
10.3	0.53	0.48	2.5	0.063	6	25	0.9998	3.12	0.59	9.3
10.6	0.36	0.57	2.3	0.087	6	20	0.99676	3.14	0.72	11.1
10.7	0.4	0.37	1.9	0.081	17	29	0.99674	3.12	0.65	11.2
10.9	0.32	0.52	1.8	0.132	17	44	0.99734	3.28	0.77	11.5
11	0.26	0.68	2.55	0.085	10	25	0.997	3.18	0.61	11.8
11.2	0.4	0.5	2	0.099	19	50	0.99783	3.1	0.58	10.4
11.2	0.67	0.55	2.3	0.084	6	13	1	3.17	0.71	9.5
11.3	0.34	0.45	2	0.082	6	15	0.9988	2.94	0.66	9.2
11.5	0.54	0.71	4.4	0.124	6	15	0.9984	3.01	0.83	11.8
11.7	0.45	0.63	2.2	0.073	7	23	0.99974	3.21	0.69	10.9
11.8	0.33	0.49	3.4	0.093	54	80	1.0002	3.3	0.76	10.7
12	0.28	0.49	1.9	0.074	10	21	0.9976	2.98	0.66	9.9
12	0.63	0.5	1.4	0.071	6	26	0.99791	3.07	0.6	10.4
4.9	0.42	0	2.1	0.048	16	42	0.99154	3.71	0.74	14
5.2	0.32	0.25	1.8	0.103	13	50	0.9957	3.38	0.55	9.2
5.3	0.47	0.11	2.2	0.048	16	89	0.99182	3.54	0.88	13.6
5.6	0.21	0.4	1.3	0.041	81	147	0.9901	3.22	0.95	11.6
5.6	0.5	0.09	2.3	0.049	17	99	0.9937	3.63	0.63	13
5.6	0.915	0	2.1	0.041	17	78	0.99346	3.68	0.73	11.4
5.8	0.33	0.23	5	0.053	29	106	0.99458	3.13	0.52	9
5.8	0.34	0.21	7.2	0.041	48	146	0.99441	3.16	0.49	9.8
5.9	0.2	0.28	12.8	0.038	29	132	0.99426	3.31	0.57	11.8
5.9	0.3	0.47	7.85	0.03	19	133	0.9933	3.52	0.43	11.5
5.9	0.36	0.41	1.3	0.047	45	104	0.9917	3.33	0.51	10.6
5.9	0.37	0.14	6.3	0.036	34	185	0.9944	3.17	0.63	9.8
6	0.16	0.22	1.6	0.042	36	106	0.9905	3.24	0.32	11.4
6	0.24	0.32	6.3	0.03	34	129	0.9946	3.52	0.41	10.4
6	0.27	0.19	1.7	0.02	24	110	0.9898	3.32	0.47	12.6
6	0.29	0.41	10.8	0.048	55	149	0.9937	3.09	0.59	10.9666666666667
6	0.34	0.29	6.1	0.046	29	134	0.99462	3.48	0.57	10.7
6	0.34	0.66	15.9	0.046	26	164	0.9979	3.14	0.5	8.8
6	0.5	0	1.4	0.057	15	26	0.99448	3.36	0.45	9.5
6	0.64	0.05	1.9	0.066	9	17	0.99496	3.52	0.78	10.6
6.1	0.21	0.4	1.4	0.066	40.5	165	0.9912	3.25	0.59	11.9
6.1	0.27	0.3	16.7	0.039	49	172	0.99985	3.4	0.45	9.4
6.1	0.28	0.27	4.7	0.03	56	140	0.99042	3.16	0.42	12.5
6.1	0.28	0.32	2.5	0.042	23	218.5	0.9935	3.27	0.6	9.8
6.1	0.35	0.07	1.4	0.069	22	108	0.9934	3.23	0.52	9.2
6.1	0.38	0.2	6.6	0.033	25	137	0.9938	3.3	0.69	10.4
6.2	0.17	0.28	4.7	0.037	39	133	0.9931	3.41	0.46	10.8
6.3	0.3	0.24	6.6	0.04	38	141	0.995	3.22	0.47	9.5
6.3	0.3	0.48	1.8	0.069	18	61	0.9959	3.44	0.78	10.3
6.3	0.305	0.22	16	0.061	26	141	0.99824	3.08	0.5	9.1
6.4	0.17	0.27	1.5	0.037	20	98	0.9916	3.46	0.42	11
6.4	0.17	0.34	1.5	0.093	43	136	0.9938	3.25	0.49	9.6
6.4	0.21	0.28	5.9	0.047	29	101	0.99278	3.15	0.4	11
6.4	0.28	0.28	3	0.04	19	98	0.99216	3.25	0.47	11.1
6.4	0.3	0.45	3.5	0.197	76	180	0.9942	3.02	0.39	9.1
6.4	0.31	0.31	12.9	0.045	55	161	0.99546	3.02	0.59	10.2
6.4	0.865	0.03	3.2	0.071	27	58	0.995	3.61	0.49	12.7
6.5	0.22	0.72	6.8	0.042	33	168	0.9958	3.12	0.36	9.2
6.5	0.3	0.27	4	0.038	37	97	0.99026	3.2	0.6	12.6
6.5	0.67	0	4.3	0.057	11	20	0.99488	3.45	0.56	11.8
6.6	0.2	0.38	7.9	0.052	30	145	0.9947	3.32	0.56	11
6.6	0.24	0.38	12.75	0.034	8	74	0.99386	3.1	0.57	12.9
6.6	0.28	0.41	7	0.046	59	194	0.99558	3.14	0.48	9.4
6.6	0.34	0.24	3.3	0.034	29	99	0.99031	3.1	0.4	12.3
6.6	0.38	0.15	4.6	0.044	25	78	0.9931	3.11	0.38	10.2
6.6	0.43	0.24	11.9	0.04	54	159	0.99622	3.14	0.54	9.8
6.6	0.725	0.09	5.5	0.117	9	17	0.99655	3.35	0.49	10.8
6.7	0.17	0.27	1.4	0.032	39	149	0.99254	3.4	0.52	10.5
6.7	0.23	0.31	2.1	0.046	30	96	0.9926	3.33	0.64	10.7
6.7	0.25	0.26	13.5	0.06	50	156	0.99784	3.39	0.46	9.9
6.7	0.27	0.31	15.7	0.036	44	179	0.9979	3.26	0.56	9.6
6.7	0.28	0.28	4.5	0.051	14	92	0.99224	3.36	0.58	11.9
6.7	0.28	0.42	3.5	0.035	43	105	0.99021	3.18	0.38	12.2
6.7	0.38	0.26	9.55	0.036	35	91	0.9919	2.98	0.37	12.4
6.7	0.42	0.46	9.7	0.054	67	234	0.99848	3.23	0.5	9
6.7	0.54	0.28	5.4	0.06	21	105	0.9949	3.27	0.37	9
6.7	0.67	0.02	1.9	0.061	26	42	0.99489	3.39	0.82	10.9
6.7	0.76	0.02	1.8	0.078	6	12	0.996	3.55	0.63	9.95
6.8	0.11	0.27	8.6	0.044	45	104	0.99454	3.2	0.37	9.9
6.8	0.15	0.41	12.9	0.044	79.5	183	0.99742	3.24	0.78	10.2
6.8	0.16	0.29	10.4	0.046	59	143	0.99518	3.2	0.4	10.8
6.8	0.2	0.27	1.2	0.034	19	68	0.9902	3.14	0.37	11.7
6.8	0.24	0.4	1.8	0.047	34	105	0.99	3.13	0.49	12.8
6.8	0.25	0.24	4.55	0.053	41	211	0.9955	3.37	0.67	9.5
6.8	0.33	0.31	7.4	0.045	34	143	0.99226	3.06	0.55	12.2
6.8	0.41	0.31	8.8	0.084	26	45	0.99824	3.38	0.64	10.1
6.8	0.67	0.15	1.8	0.118	13	20	0.9954	3.42	0.67	11.3
6.8	0.68	0.21	2.1	0.07	9	23	0.99546	3.38	0.6	10.3
6.8	0.77	0	1.8	0.066	34	52	0.9976	3.62	0.68	9.9
6.8	0.83	0.09	1.8	0.074	4	25	0.99534	3.38	0.45	9.6
6.9	0.22	0.49	7	0.063	50	168	0.9957	3.54	0.5	10.3
6.9	0.23	0.34	2.7	0.032	24	121	0.9902	3.14	0.38	12.4
6.9	0.24	0.35	1	0.052	35	146	0.993	3.45	0.44	10
6.9	0.3	0.21	15.7	0.056	49	159	0.99827	3.11	0.48	9
6.9	0.33	0.21	1	0.053	39	148	0.9927	3.12	0.45	9.4
6.9	0.38	0.32	8.5	0.044	36	152	0.9932	3.38	0.35	12
6.9	0.44	0	1.4	0.07	32	38	0.99438	3.32	0.58	11.4
6.9	0.49	0.1	2.3	0.074	12	30	0.9959	3.42	0.58	10.2
6.9	0.52	0.25	2.6	0.081	10	37	0.99685	3.46	0.5	11
6.9	0.54	0.04	3	0.077	7	27	0.9987	3.69	0.91	9.4
6.9	0.765	0.18	2.4	0.243	5.5	48	0.99612	3.4	0.6	10.3
7	0.17	0.33	4	0.034	17	127	0.9934	3.19	0.39	10.6
7	0.22	0.26	1.1	0.037	20	71	0.9902	3.1	0.38	11.7
7	0.23	0.42	18.05	0.05	35	144	0.9999	3.22	0.42	8.8
7	0.24	0.36	4.9	0.083	10	133	0.9942	3.33	0.37	10.8
7	0.34	0.3	1.8	0.045	44	142	0.9914	2.99	0.45	10.8
7	0.53	0.43	6.1	0.029	6	76	0.99118	3.08	0.5	12.5
7	0.54	0	2.1	0.079	39	55	0.9956	3.39	0.84	11.4
7.1	0.28	0.19	7.8	0.04	48	184	0.99579	3.16	0.5	9.4
7.1	0.32	0.24	13.1	0.05	52	204	0.998	3.1	0.49	8.8
7.1	0.34	0.32	2	0.051	29	130	0.99354	3.3	0.5	10.4
7.1	0.36	0.3	1.6	0.08	35	70	0.99693	3.44	0.5	9.4
7.1	0.36	0.56	1.3	0.046	25	102	0.9923	3.24	0.33	10.5
7.1	0.42	0.2	2.8	0.038	28	109	0.98968	3.23	0.47	13.4
7.1	0.43	0.17	1.8	0.082	27	51	0.99634	3.49	0.64	10.4
7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5
7.1	0.59	0	2.2	0.078	26	44	0.99522	3.42	0.68	10.8
7.1	0.6	0	1.8	0.074	16	34	0.9972	3.47	0.7	9.9
7.1	0.68	0	2.3	0.087	17	26	0.99783	3.45	0.53	9.5
7.1	0.68	0.07	1.9	0.075	16	51	0.99685	3.38	0.52	9.5
7.1	0.75	0.01	2.2	0.059	11	18	0.99242	3.39	0.4	12.8
7.2	0.17	0.37	6.9	0.059	47	128	0.99322	3.08	0.46	11
7.2	0.21	1	1.1	0.154	46	114	0.9931	2.95	0.43	9.2
7.2	0.36	0.46	2.1	0.074	24	44	0.99534	3.4	0.85	11
7.2	0.38	0.3	1.8	0.073	31	70	0.99685	3.42	0.59	9.5
7.2	0.56	0.26	2	0.083	13	100	0.99586	3.26	0.52	9.9
7.2	0.62	0.06	2.5	0.078	17	84	0.99746	3.51	0.53	9.7
7.3	0.13	0.31	2.3	0.054	22	104	0.9924	3.24	0.92	11.5
7.3	0.2	0.44	1.4	0.045	21	98	0.9924	3.15	0.46	10
7.3	0.23	0.27	2.6	0.035	39	120	0.99138	3.04	0.59	11.3
7.3	0.52	0.32	2.1	0.07	51	70	0.99418	3.34	0.82	12.9
7.3	0.98	0.05	2.1	0.061	20	49	0.99705	3.31	0.55	9.7
7.4	0.16	0.27	15.5	0.05	25	135	0.9984	2.9	0.43	8.7
7.4	0.19	0.3	12.8	0.053	48.5	229	0.9986	3.14	0.49	9.1
7.4	0.24	0.42	14	0.066	48	198	0.9979	2.89	0.42	8.9
7.4	0.34	0.42	1.1	0.033	17	171	0.9917	3.12	0.53	11.3
7.4	0.36	0.3	1.8	0.074	17	24	0.99419	3.24	0.7	11.4
7.4	0.49	0.27	2.1	0.071	14	25	0.99388	3.35	0.63	12
7.4	0.6	0.26	2.1	0.083	17	91	0.99616	3.29	0.56	9.8
7.5	0.18	0.39	1.9	0.054	23	91	0.9941	3.27	0.45	10.3
7.5	0.18	0.45	4.6	0.041	67	158	0.9927	3.01	0.38	10.6
7.5	0.52	0.16	1.9	0.085	12	35	0.9968	3.38	0.62	9.5
7.5	0.77	0.2	8.1	0.098	30	92	0.99892	3.2	0.58	9.2
7.6	0.21	0.49	2.5	0.047	20	130	0.99178	3.15	0.48	11.1
7.6	0.21	0.6	2.1	0.046	47	165	0.9936	3.05	0.54	10.1
7.6	0.23	0.64	12.9	0.033	54	170	0.998	3	0.53	8.8
7.6	0.27	0.34	5	0.04	18	56	0.99084	3.06	0.48	12.4
7.6	0.31	0.27	8.8	0.021	57	156	0.99442	3.08	0.38	11
7.6	0.41	0.14	3	0.087	21	43	0.9964	3.32	0.57	10.5
7.6	0.43	0.31	2.1	0.069	13	74	0.9958	3.26	0.54	9.9
7.6	0.55	0.21	2.2	0.071	7	28	0.9964	3.28	0.55	9.7
7.7	0.34	0.3	8	0.048	25	192	0.9951	2.97	0.47	10.9
7.7	0.39	0.12	1.7	0.097	19	27	0.99596	3.16	0.49	9.4
7.7	0.54	0.26	1.9	0.089	23	147	0.99636	3.26	0.59	9.7
7.7	0.6	0.06	2	0.079	19	41	0.99697	3.39	0.62	10.1
7.7	0.715	0.01	2.1	0.064	31	43	0.99371	3.41	0.57	11.8
7.8	0.25	0.37	1	0.043	10	80	0.99128	3.08	0.38	11.4
7.8	0.4	0.26	9.5	0.059	32	178	0.9955	3.04	0.43	10.9
7.8	0.53	0.01	1.6	0.077	3	19	0.995	3.16	0.46	9.8
7.8	0.56	0.19	2.1	0.081	15	105	0.9962	3.33	0.54	9.5
7.9	0.72	0.17	2.6	0.096	20	38	0.9978	3.4	0.53	9.5
8	0.24	0.3	17.45	0.056	43	184	0.9997	3.05	0.5	9.2
8	0.25	0.26	14	0.043	41	248	0.9986	3.03	0.57	8.7
8	0.25	0.43	1.7	0.067	22	50	0.9946	3.38	0.6	11.9
8.1	0.545	0.18	1.9	0.08	13	35	0.9972	3.3	0.59	9
8.2	0.22	0.3	1.8	0.047	47	185	0.9933	3.13	0.5	10.2
8.2	0.23	0.42	1.9	0.069	9	17	0.99376	3.21	0.54	12.3
8.2	0.24	0.34	5.1	0.062	8	22	0.9974	3.22	0.94	10.9
8.2	0.24	0.49	9.3	0.038	52	163	0.9952	3.02	0.33	10.6
8.2	0.34	0.38	2.5	0.08	12	57	0.9978	3.3	0.47	9
8.3	0.28	0.48	2.1	0.093	6	12	0.99408	3.26	0.62	12.4
8.3	0.6	0.25	2.2	0.118	9	38	0.99616	3.15	0.53	9.8
8.3	0.705	0.12	2.6	0.092	12	28	0.9994	3.51	0.72	10
8.4	0.23	0.49	7.8	0.035	22	95	0.9935	3.04	0.34	12
8.4	0.37	0.43	2.3	0.063	12	19	0.9955	3.17	0.81	11.2
8.4	0.56	0.04	2	0.082	10	22	0.9976	3.22	0.44	9.6
8.5	0.16	0.35	1.6	0.039	24	147	0.9935	2.96	0.36	10
8.5	0.21	0.26	9.25	0.034	73	142	0.9945	3.05	0.37	11.4
8.5	0.66	0.2	2.1	0.097	23	113	0.99733	3.13	0.48	9.2
8.6	0.37	0.65	6.4	0.08	3	8	0.99817	3.27	0.58	11
8.6	0.49	0.51	2	0.422	16	62	0.9979	3.03	1.17	9
8.6	0.55	0.09	3.3	0.068	8	17	0.99735	3.23	0.44	10
8.7	0.23	0.32	13.4	0.044	35	169	0.99975	3.12	0.47	8.8
8.7	0.69	0	3.2	0.084	13	33	0.9992	3.36	0.45	9.4
8.7	0.78	0.51	1.7	0.415	12	66	0.99623	3	1.17	9.2
8.8	0.34	0.33	9.7	0.036	46	172	0.9966	3.08	0.4	10.2
8.9	0.59	0.39	2.3	0.095	5	22	0.9986	3.37	0.58	10.3
9	0.45	0.49	2.6	0.084	21	75	0.9987	3.35	0.57	9.7
9	0.58	0.25	2.8	0.075	9	104	0.99779	3.23	0.57	9.7
9.1	0.21	0.37	1.6	0.067	6	10	0.99552	3.23	0.58	11.1
9.1	0.22	0.24	2.1	0.078	1	28	0.999	3.41	0.87	10.3
9.1	0.28	0.49	2	0.059	10	112	0.9958	3.15	0.46	10.1
9.2	0.46	0.23	2.6	0.091	18	77	0.99922	3.15	0.51	9.4
9.3	0.39	0.44	2.1	0.107	34	125	0.9978	3.14	1.22	9.5
9.5	0.42	0.41	2.3	0.034	22	145	0.9951	3.06	0.52	11
9.6	0.68	0.24	2.2	0.087	5	28	0.9988	3.14	0.6	10.2
9.7	0.32	0.54	2.5	0.094	28	83	0.9984	3.28	0.82	9.6
9.8	1.24	0.34	2	0.079	32	151	0.998	3.15	0.53	9.5
9.9	0.72	0.55	1.7	0.136	24	52	0.99752	3.35	0.94	10
